Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
EG-4755015,Apartment for sale - Miami - area 135 meters,"3,000,000 EGP",Miami,3,2,135,3,Super Lux,Main Street,2005,Cash,Broker,Aura Real Estate,https://aqarmap.com.eg/en/listing/4755015-for-sale-alexandria-miami-khld-bn-lwlyd/
EG-4992781,Apartments For sale in Khaled Ibn El Waleed St.,"1,800,000 EGP",Miami,2,1,100,1,Super Lux,Other,2021,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/4992781-for-sale-alexandria-miami-khld-bn-lwlyd/
EG-5152916,Apartments For sale in Mahmoud El-Isawy St.,"2,850,000 EGP",Miami,3,2,140,12,Super Lux,Side Street,2006,Cash,Private Owner,محمد صالح حسن,https://aqarmap.com.eg/en/listing/5152916-for-sale-alexandria-miami-mahmoud-el-isawy-st/
EG-4939598,"For sale in Al-Issawi Street, a 135 sqm apartment with an open view","2,900,000 EGP",Miami,3,1,135,4,Lux,Main Street,1999,Cash,Broker,Turkyre Realestate,https://aqarmap.com.eg/en/listing/4939598-for-sale-alexandria-miami-mahmoud-el-isawy-st/
EG-4705540,شقه للبيع في الاسكندريه,"2,600,000 EGP",Miami,2,1,135,16,Extra Super Lux,Sea View,2006,Cash,Private Owner,Nour Nora,https://aqarmap.com.eg/en/listing/4705540-for-sale-alexandria-miami-khld-bn-lwlyd/
EG-4738811,Apartments For sale in Khalf Al Akademaia St.,"1,050,000 EGP",Miami,2,1,85,1,Lux,Side Street,1990,Cash,Broker,محمد رسول,https://aqarmap.com.eg/en/listing/4738811-for-sale-alexandria-miami-khalf-al-akademaia-st/
EG-4925133,Apartments For sale in Forty Five St,"2,750,000 EGP",Miami,3,2,155,4,Lux,Sea View,2017,Cash,Private Owner,bker,https://aqarmap.com.eg/en/listing/4925133-for-sale-alexandria-miami-forty-five-st/
EG-4933183,Apartments For sale in Khaled Ibn El Waleed St.,"800,000 EGP",Miami,2,1,70,Ground,Lux,Side Street,1996,Cash,Private Owner,Zina,https://aqarmap.com.eg/en/listing/4933183-for-sale-alexandria-miami-khld-bn-lwlyd/
EG-4736270,Apartments For sale in Gamal Abdel Nasser St.,"1,400,000 EGP",Miami,2,1,100,13,Super Lux,Side Street,2006,Cash,Building Developer,شقتى للتسويق العقارى,https://aqarmap.com.eg/en/listing/4736270-for-sale-alexandria-miami-shr-jml-bd-lnsr/
EG-4986034,Apartments For sale in Mahmoud El-Isawy St.,"2,700,000 EGP",Miami,2,1,110,14,Extra Super Lux,Main Street,2015,Cash,Private Owner,Ashraf,https://aqarmap.com.eg/en/listing/4986034-for-sale-alexandria-miami-mahmoud-el-isawy-st/
EG-5104552,Apartments For sale in Khaled Ibn El Waleed St.,"1,300,000 EGP",Miami,3,1,110,13,Super Lux,Side Street,2024,Cash,Private Owner,Mohamed Mahmoud Ahmed Elarabi,https://aqarmap.com.eg/en/listing/5104552-for-sale-alexandria-miami-khld-bn-lwlyd/
EG-4910170,Apartments For sale in Mahmoud El-Isawy St.,"2,700,000 EGP",Miami,3,1,120,2,Super Lux,Main Street,1990,Cash,Private Owner,renad ahmed,https://aqarmap.com.eg/en/listing/4910170-for-sale-alexandria-miami-mahmoud-el-isawy-st/
EG-4965557,Apartments For sale in Khaled Ibn El Waleed St.,"1,100,000 EGP",Miami,2,1,70,2,Super Lux,Sea View,2003,Cash,Private Owner,احمد,https://aqarmap.com.eg/en/listing/4965557-for-sale-alexandria-miami-khld-bn-lwlyd/
EG-4776521,Apartments For sale in Gamal Abdel Nasser St.,"1,600,000 EGP",Miami,2,1,100,3,Super Lux,Side Street,1994,Cash,Private Owner,abo hamza,https://aqarmap.com.eg/en/listing/4776521-for-sale-alexandria-miami-shr-jml-bd-lnsr/
EG-5098785,Apartments For sale in Gamal Abdel Nasser St.,"3,200,000 EGP",Miami,3,2,168,8,Lux,Corner,1995,Cash,Private Owner,ايهاب,https://aqarmap.com.eg/en/listing/5098785-for-sale-alexandria-miami-shr-jml-bd-lnsr/
EG-4965821,Apartments For sale in Khaled Ibn El Waleed St.,"3,000,000 EGP",Miami,3,1,135,8,Lux,Sea View,1989,Cash,Private Owner,Nour Khaled,https://aqarmap.com.eg/en/listing/4965821-for-sale-alexandria-miami-khld-bn-lwlyd/
EG-4775313,٧ ش محمد نبيل حمدي بين بير مسعود وخالد بن الوليد ميامي الإسكندرية,"1,700,000 EGP",Miami,2,1,100,6,Extra Super Lux,Sea View,1999,Cash,Broker,Tarek Darwish,https://aqarmap.com.eg/en/listing/4775313-for-sale-alexandria-miami-khld-bn-lwlyd/
EG-4732528,Apartments For sale in Mahmoud El-Isawy St.,"2,200,000 EGP",Miami,3,3,165,1,Super Lux,Main Street,2010,Cash,Broker,REMAX performance,https://aqarmap.com.eg/en/listing/4732528-for-sale-alexandria-miami-mahmoud-el-isawy-st/
EG-4820779,"For sale, an apartment of 144 square meters, on the main Al-Assawi Street, steps from Muhammad Naguib and the sea","2,500,000 EGP",Miami,3,2,144,6,Lux,Main Street,2006,Cash,Broker,Turkyre Realestate,https://aqarmap.com.eg/en/listing/4820779-for-sale-alexandria-miami-mahmoud-el-isawy-st/
EG-4852926,Apartments For sale in Forty Five St,"1,950,000 EGP",Miami,3,2,140,2,Semi Finished,Main Street,2021,Cash,Private Owner,Sayed,https://aqarmap.com.eg/en/listing/4852926-for-sale-alexandria-miami-forty-five-st/
EG-4866848,Apartments For sale in Iskandar Ibrahim St.,"1,900,000 EGP",Miami,2,1,100,5,Super Lux,Side Street,2005,Cash,Private Owner,رشاد محمد رشاد,https://aqarmap.com.eg/en/listing/4866848-for-sale-alexandria-miami-iskandar-ibrahim-st/
"15,000 EGP/M²",Apartments For sale in El-Gaish Rd St.,"1,500,000 EGP",Miami,2,1,100,3,Lux,"CBE 8% Initiative, Commercial Financing",Sea View,2000,Cash,احمد,https://aqarmap.com.eg/en/listing/4963931-for-sale-alexandria-miami-el-gaish-rd-st/
EG-4829935,Apartments For sale in Khaled Ibn El Waleed St.,"1,800,000 EGP",Miami,3,1,100,9,Lux,Side Street,2007,Cash,Private Owner,تامر هيكل,https://aqarmap.com.eg/en/listing/4829935-for-sale-alexandria-miami-khld-bn-lwlyd/
EG-4846976,شقه للبيع في ميامي,"1,650,000 EGP",Miami,2,1,110,14,Super Lux,Main Street,2005,Cash,Broker,,https://aqarmap.com.eg/en/listing/4846976-for-sale-alexandria-miami-farook-abd-al-wahab-st/
EG-4743323,.Alexandria,"5,500,000 EGP",Miami,2,2,180,7,Extra Super Lux,Main Street,2005,Cash,Private Owner,Amal mohamed,https://aqarmap.com.eg/en/listing/4743323-for-sale-alexandria-miami-shr-jml-bd-lnsr/
EG-5176613,شقة للبيع في ميامي، الإسكندرية,"2,400,000 EGP",Miami,4,1,140,3,Super Lux,Other,1994,Cash,Broker,,https://aqarmap.com.eg/en/listing/5176613-for-sale-alexandria-miami-ibn-moeslh-al-arman-st/
EG-5192706,شقة للبيع في ميامي,"2,300,000 EGP",Miami,3,1,135,4,Super Lux,Main Street,2002,Cash,Broker,,https://aqarmap.com.eg/en/listing/5192706-for-sale-alexandria-miami-shr-jml-bd-lnsr/
EG-5163096,شقة مميزة للبيع في ميامي - 135 متر، ناصية، إطلالة على الشارع,"1,350,000 EGP",Miami,3,1,135,14,Lux,Other,2007,Cash,Broker,,https://aqarmap.com.eg/en/listing/5163096-for-sale-alexandria-miami/
"18,667 EGP/M²",Apartments For sale in Mahmoud El-Isawy St.,"1,400,000 EGP",Miami,2,1,75,15,Lux,"CBE 3% Initiative, CBE 8% Initiative, Commercial Financing",Main Street,1980,Cash,Ahmed yehia ahmed,https://aqarmap.com.eg/en/listing/4761686-for-sale-alexandria-miami-mahmoud-el-isawy-st/
EG-4761742,Apartments For sale in Khalf Al Akademaia St.,"2,500,000 EGP",Miami,3,1,140,1,Extra Super Lux,Main Street,1990,Cash,Private Owner,Moaaz nashaat,https://aqarmap.com.eg/en/listing/4761742-for-sale-alexandria-miami-khalf-al-akademaia-st/
EG-5041238,شقة للبيع كاملة العدادات من المالك مباشرة,"1,650,000 EGP",Miami,2,1,110,14,Super Lux,Other,2005,Cash,Broker,,https://aqarmap.com.eg/en/listing/5041238-for-sale-alexandria-miami-farook-abd-al-wahab-st/
EG-5191614,شقة للبيع في الإسكندرية - منطقة ميامي,"1,500,000 EGP",Miami,2,1,90,12,Super Lux,Main Street,2014,Cash,Broker,,https://aqarmap.com.eg/en/listing/5191614-for-sale-alexandria-miami-khld-bn-lwlyd/
EG-5010336,شقة تمليك كاملة العدادات ومشمسه جدا من المالك مباشرة,"1,650,000 EGP",Miami,2,1,110,14,Super Lux,Other,2005,Cash,Broker,,https://aqarmap.com.eg/en/listing/5010336-for-sale-alexandria-miami-farook-abd-al-wahab-st/
EG-4814665,شقه للبيع سوبر لوكس مشمسه جدا 110 متر,"1,850,000 EGP",Miami,2,1,110,14,Super Lux,Other,2005,Cash,Broker,,https://aqarmap.com.eg/en/listing/4814665-for-sale-alexandria-miami-mahmoud-el-isawy-st/
EG-4853408,شقه للبيع كاملة العدادات و مشمسة جدا,"1,650,000 EGP",Miami,2,1,110,14,Super Lux,Other,2005,Cash,Broker,,https://aqarmap.com.eg/en/listing/4853408-for-sale-alexandria-miami-farook-abd-al-wahab-st/
EG-5127565,شقه للبيع بالاسكندريه ميامى ش صلاح الدين شعبان,"1,650,000 EGP",Miami,2,1,90,15,Super Lux,Other,2006,Cash,Broker,,https://aqarmap.com.eg/en/listing/5127565-for-sale-alexandria-miami-salah-al-din-shaban-st/
EG-4869575,لهواة التميز بشارع العيسوي الرئيسي شقة دوبلكس رسبشن اربع قطع كبار,"3,000,000 EGP",Miami,2,2,160,11,Lux,Main Street,2005,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/4869575-for-sale-alexandria-miami-mahmoud-el-isawy-st/
EG-4831328,شقة للبيع أسكندر أبراهيم (الرئيسي) اعلي كنتاكي و ابو فارس80 متر,"1,725,000 EGP",Miami,2,1,80,10,Super Lux,Side Street,2002,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/4831328-for-sale-alexandria-miami-iskandar-ibrahim-st/
EG-4865757,شقه للبيع سوبر لوكس مشمسة جدا,"1,650,000 EGP",Miami,2,1,110,14,Super Lux,Other,2005,Cash,Broker,,https://aqarmap.com.eg/en/listing/4865757-for-sale-alexandria-miami-farook-abd-al-wahab-st/
EG-4848213,شقه للبيع سوبر لوكس مشمسة جدا ميامي,"1,650,000 EGP",Miami,2,1,110,14,Super Lux,Other,2005,Cash,Broker,,https://aqarmap.com.eg/en/listing/4848213-for-sale-alexandria-miami-farook-abd-al-wahab-st/
EG-4915567,Apartment for sale - Miami - area of 170 full meters,"1,450,000 EGP",Miami,3,2,170,6,Super Lux,Other,2000,Cash,Broker,REMAX TOP AGENTS,https://aqarmap.com.eg/en/listing/4915567-for-sale-alexandria-miami-khld-bn-lwlyd/
EG-4807763,شقه للبيع سوبر لوكس مشمسة جدا و كاملة المرافق,"1,850,000 EGP",Miami,2,1,110,14,Super Lux,Other,2005,Cash,Broker,,https://aqarmap.com.eg/en/listing/4807763-for-sale-alexandria-miami-farook-abd-al-wahab-st/
EG-5127594,شقه للبيع بالاسكندريه ميامى ش ابو العرب,"1,750,000 EGP",Miami,2,1,85,6,Lux,Other,1990,Cash,Broker,,https://aqarmap.com.eg/en/listing/5127594-for-sale-alexandria-miami-abou-el-arab-st/
EG-5194508,شقة للبيع في إسكندر إبراهيم,"3,650,000 EGP",Miami,2,2,120,9,Extra Super Lux,Main Street,2021,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5194508-for-sale-alexandria-miami-iskandar-ibrahim-st/
EG-5191392,شقة للبيع في شارع رضوان بجوار مكتبة الشعراوي,"650,000 EGP",Miami,2,1,120,4,Super Lux,Main Street,2020,Cash,Broker,,https://aqarmap.com.eg/en/listing/5191392-for-sale-alexandria-miami-el-sayed-radwan-st/
EG-5191651,شقة للبيع في ميامي,"1,950,000 EGP",Miami,4,1,170,8,Super Lux,Other,2009,Cash,Broker,,https://aqarmap.com.eg/en/listing/5191651-for-sale-alexandria-miami/
EG-5192638,شقة للبيع في ميامي - الإسكندرية,"1,700,000 EGP",Miami,3,1,130,2,Lux,Side Street,2012,Cash,Broker,,https://aqarmap.com.eg/en/listing/5192638-for-sale-alexandria-miami-shr-jml-bd-lnsr/
EG-5195280,شقة للبيع في ميامي الموقع: متفرع من شارع جمال عبد الناصر.,"1,700,000 EGP",Miami,3,1,110,3,Super Lux,Other,2021,Cash,Broker,,https://aqarmap.com.eg/en/listing/5195280-for-sale-alexandria-miami-shr-jml-bd-lnsr/
EG-5191659,شقة للبيع في الإسكندرية - ميامي,"2,900,000 EGP",Miami,3,2,140,8,Super Lux,Main Street,2003,Cash,Broker,,https://aqarmap.com.eg/en/listing/5191659-for-sale-alexandria-miami-street-57/
EG-5191239,شقة تمليك للبيع في ميامي - الدور الثاني,"2,600,000 EGP",Miami,3,1,135,2,Super Lux,Main Street,2005,Cash,Broker,,https://aqarmap.com.eg/en/listing/5191239-for-sale-alexandria-miami-mahmoud-el-isawy-st/
EG-5192839,شقة للبيع في ميامي,"2,000,000 EGP",Miami,3,1,130,2,Super Lux,Other,1984,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5192839-for-sale-alexandria-miami-mahmoud-el-isawy-st/
EG-5192874,شقة للبيع في ميامي، الإسكندرية,"1,100,000 EGP",Miami,2,1,80,7,Lux,Side Street,2019,Cash,Broker,,https://aqarmap.com.eg/en/listing/5192874-for-sale-alexandria-miami-mohammed-awad-gebreel-st/
EG-5192659,شقة للبيع في ميامي الإسكندرية - 65 متر بدون عمولة,"850,000 EGP",Miami,2,1,65,10,Super Lux,Side Street,2016,Cash,Broker,,https://aqarmap.com.eg/en/listing/5192659-for-sale-alexandria-miami-khld-bn-lwlyd/
EG-5195171,شقة للبيع في ميامي الموقع: شارع خالد بن الوليد، ميامي.,"1,180,000 EGP",Miami,2,1,90,14,Super Lux,Other,2022,Cash,Broker,,https://aqarmap.com.eg/en/listing/5195171-for-sale-alexandria-miami-khld-bn-lwlyd/
EG-5189287,شقة للبيع في ميامي - جمال عبد الناصر,"3,800,000 EGP",Miami,4,2,240,16,Extra Super Lux,Other,2020,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5189287-for-sale-alexandria-miami-shr-jml-bd-lnsr/
EG-5190228,شقة للبيع من المالك مباشرة في ميامي بير مسعود,"3,000,000 EGP",Miami,3,2,135,12,Super Lux,Other,2013,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5190228-for-sale-alexandria-miami-kaad-assrab-al-bhar-st/
EG-5003684,شقة الدور الثاني عباره عن ٣غرف نوم كبار وريسبشن قطعتين وحمام مطبخ,"2,400,000 EGP",Miami,3,1,120,2,Extra Super Lux,Side Street,2004,Cash,Broker,,https://aqarmap.com.eg/en/listing/5003684-for-sale-alexandria-miami-abou-el-arab-st/
EG-5191626,شقة للبيع في ميامي,"2,300,000 EGP",Miami,3,1,130,6,Super Lux,Other,2004,Cash,Broker,,https://aqarmap.com.eg/en/listing/5191626-for-sale-alexandria-miami/
EG-5194317,شقه للبيع ميامى خلف فتح الله ش ٤٥ و,"2,850,000 EGP",Miami,3,2,150,14,Super Lux,Other,2021,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5194317-for-sale-alexandria-miami/
EG-5191570,شقه فى ميامي للبيع,"650,000 EGP",Miami,2,1,100,4,Super Lux,Other,2018,Cash,Broker,,https://aqarmap.com.eg/en/listing/5191570-for-sale-alexandria-miami-khld-bn-lwlyd/
EG-5003617,شقه للبيع ٣ غرف و ريسبشن قطعتين المساحة 150 م عداد كهرباء ومياه و غاز ناصية,"1,950,000 EGP",Miami,3,1,150,6,Extra Super Lux,Side Street,2013,Cash,Broker,,https://aqarmap.com.eg/en/listing/5003617-for-sale-alexandria-miami-mahmoud-el-isawy-st/
EG-5192852,شقة للبيع في ميامي - خطوات للبحر,"2,000,000 EGP",Miami,2,1,115,5,Super Lux,Other,1997,Cash or Installments,Private Owner,,https://aqarmap.com.eg/en/listing/5192852-for-sale-alexandria-miami-iskandar-ibrahim-st/
EG-4923814,ميامي اول شارع من البحر بين الارمن وابو العرب,"1,850,000 EGP",Miami,2,1,100,7,Lux,Other,2006,Cash,Broker,,https://aqarmap.com.eg/en/listing/4923814-for-sale-alexandria-miami/
EG-5189536,شقة للبيع في ميامي,"2,200,000 EGP",Miami,2,1,125,19,Super Lux,Other,2022,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5189536-for-sale-alexandria-miami-amin-khirat-al-ghandour-st/
EG-4738655,شقة للبيع في ميامي ٣ غرف بشارع امين خيرت الغندور الدور الأول بعد الميزان والبرج,"2,100,000 EGP",Miami,3,1,130,1,Super Lux,Other,2013,Cash,Broker,,https://aqarmap.com.eg/en/listing/4738655-for-sale-alexandria-miami-amin-khirat-al-ghandour-st/
EG-4738618,شقة للبيع بميامي ٢٤٠ متر ٤ غرف إمكانية غلق غرفه ٥ ريسبشن ٤ قطع كلها علي الشارع,"3,000,000 EGP",Miami,4,2,240,12,Super Lux,Other,2021,Cash,Broker,,https://aqarmap.com.eg/en/listing/4738618-for-sale-alexandria-miami/
EG-4738657,شقه للبيع في ميامي شارع السباعي ١٥٠ متر,"2,650,000 EGP",Miami,3,2,150,3,Super Lux,Other,2015,Cash,Broker,,https://aqarmap.com.eg/en/listing/4738657-for-sale-alexandria-miami-el-sebaey-st/
