"Indicator","Source","Unit","Quarter","Year","Agriculture","Petroleum","Natural Gas","Other Extractions","Petroleum Refining","Other Manufacturing","Electricity","Water And Sewerage","Construction","Storage And Transportation","Information And Communication","Suez Canal","Wholesale And RetailTrade","Financial Intermediary Insurance And Social Security","Accommodation And Food Service Activities","Real Estate Activities","Education","Health","Other Srvices","Total Public Investments"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2022/2021","7042.8","10235.7","3871.6","60.3","1667.2","6235.6","23378.7","50151.7","6927.4","53489.6","5985.3","7028.4","363.5","1799.7","246.1","6179.6","17579.7","11829.7","43873.1","257945.7"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2022/2021","10572","16950.9","2945.6","38","2862.5","13170.6","13787","35548.9","9291.2","51081.1","4535.3","35.4","301.1","1704","367.4","11889.1","15766.2","51278.7","43819","239794"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2022/2021","9599","5606.7","1321","69.7","4338.4","5385.6","18870.1","39592.1","4556.3","40904.4","8871.5","6533.3","419.1","1756.3","84.8","4240.8","14196.8","10926.4","20886.9","198159.2"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2022/2021","10605.4","4877.5","1218.2","43.3","1314.8","16731.5","6048.5","7831.5","14140.6","38758.7","7550.7","3119.5","414.2","1669.2","125.6","2618.4","11287.1","9484.9","16570.3","154409.87"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2021/2020","4975.2","33896.1","3443","54","1590.1","2421.3","7958.8","9637.1","10298.8","33091.2","7674","4153.4","315.6","1740.9","301.3","4764.5","10888.5","7529.1","25109.2","169842.6"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2021/2020","10216.8","37115.3","532","36.7","1707.8","8573.4","7719.8","12639.2","11400.2","33670.7","6522.3","3498.3","302","1659","249.3","5036.7","11295.2","8591.7","17126.7","177893.1"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2021/2020","4320.2","22663.4","2360","38.9","0","7924","10181.7","11619.1","10226.2","33778.7","7997.5","3469","314.7","1649.3","123.7","8639.6","8959.6","4449.5","14601.4","153316.5"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2021/2020","9589.1","22721.3","2212.5","43.6","433.2","8571.1","7301.8","5640.7","10771.2","27757.4","1090","2609.3","354.9","1624","83.8","30.7","8663.7","4361.7","18245.2","132105.1"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2020/2019","5790.8","4479.7","525.7","39.8","214.1","8346.6","14361.2","4842.8","4798.8","13448.5","2917.5","2161.7","358.1","1382.6","55.1","8700.4","10470.1","5632.4","23895.3","112421.1"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2020/2019","7017.8","8349.4","1598","36.9","800","14306.1","21686.5","10319.1","7456.6","19502","3356.5","2328.1","361.4","1370.8","94.7","7488.3","7355.4","4344.1","25124.9","142896.5"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2020/2019","7368.4","10847.3","3632.5","37.1","698.7","13841.8","20290.8","13601.3","7831.8","29285.7","3363.2","2860.7","416.1","1562.2","101.1","3635.9","7757.4","3854.4","18713.4","149699.7"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2020/2019","8561.5","11123.2","1576.2","40.3","847.8","15736.5","18843.3","7250.3","9561.9","26176.7","3837.4","2982.9","489.6","1676.8","262.7","3692.7","6823","3102.1","8162.9","130747.7"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2019/2018","7703","22903.3","4382.9","38.3","846.4","12739.1","30817.9","8002.1","9016.2","27937.1","4182.4","11056.8","4064.9","1168.1","343","4602.6","6798.2","5662.8","23260.6","185525.8"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2019/2018","8561","16879.1","2995","35.7","1107.3","16048.4","16598.6","5488.3","9416.7","13421.1","3357.6","2726.9","971.2","1087","91.7","3881.6","7284.4","2606.1","17292.9","129850.7"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2019/2018","8728","16652.6","5218","34.2","1055.7","12568.3","17064.2","4788.7","8173.6","17281.4","2947.5","844.3","2040.8","1281.8","489.4","3164.2","3328.8","1634.2","11314.5","118610.3"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2019/2018","6439.2","10105","4222","39","718.2","9661.6","8604","3644.1","7086.5","17197.3","2799.3","3776.6","362.7","1006.6","155.7","9505.3","3833","2190.7","4598","95944.9"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2018/2017","9099.7","4492.7","9880.5","31.8","1177.7","11427.7","51485.3","5722.6","8070.9","21843.3","1744.2","6582","484.6","789.7","228.2","13219.3","6858.6","3481","16314.3","173374.7"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2018/2017","8443.1","3981.7","10100","27.6","371.5","12658.9","25516.2","3675","9373.6","20590.3","2013.3","5401.5","889.4","800.5","187.5","5992.3","4312.7","1329.5","9101.2","124765.8"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2018/2017","7765.7","6202.3","14250","28.8","145.8","10467.3","23086.5","3321.1","7899.6","16769.4","2121.7","3877.7","1455.1","803.3","145.3","934.1","2741.3","1542.7","8175.8","111733.5"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2018/2017","7084.7","2847.8","8638","30.1","172.2","11056.8","10683.7","3452.1","8255.7","16102.9","1402","3301.6","394.8","691.6","131.6","2401.5","3315.5","1190.2","4180.2","85335.3"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2017/2016","2205.4","1517.6","7375.3","25.1","481.6","1370","40530.9","10171.8","593.8","9684.7","2219.8","1415.1","499.3","442.2","274.3","15010","3444.7","2335.4","5705.5","105302.5"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2017/2016","1940.1","4616.6","13697.6","22.8","374.6","699.4","37433.2","3490.8","395.6","9838.1","983.9","2738.1","138.1","401.2","317","28574","2342.5","2235.5","5352.8","89875.3"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2017/2016","1296","434.8","1615.5","21.3","318.2","510.3","24361","2971.2","237.4","9789.3","926.9","2604.4","147","384.3","323.6","1742.4","4793","3072.3","8218.4","63767.3"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2017/2016","603.9","284","1536.1","23.1","255.1","282.4","22215.6","2131.4","247.5","6415.1","696.5","7271.2","134.1","393.4","397.4","4885.2","2122.6","1220.8","1975.2","53090.6"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2016/2015","1229.9","28321.2","3265","0","271.2","815.7","7366.5","8679.7","161.5","6821.2","523.8","13549.8","196.1","125.7","12.4","4333.2","1418.4","1038.7","11068.3","89198.3"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2016/2015","1785.6","544.7","783.4","0","101.3","1264.3","4023.8","2754.9","4073.5","8893.4","289.3","4571","114.4","17.7","41.2","1237.9","2084","628.7","1898.2","35107.3"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2016/2015","1078.9","426.9","765.3","0","299.4","2702.8","3510","2909.6","160.1","5020.3","86.5","5115.6","62.3","0.2","56.6","1195.9","1809.1","961.2","4206.7","30367.4"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2016/2015","944.8","320.9","749.5","0","52.4","1300.3","2154.6","2194.1","234.9","5440.5","44","8211.4","34.5","1","76.1","1115","1107.4","826.1","1941.5","26749"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2015/2014","1681.4","8317.7","1320.3","0","219.6","666.2","3925.4","6044.5","515.4","8730.7","488","16447","142.2","85.9","25.4","2971.7","4981.8","793.7","2079","59435.9"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2015/2014","1336.8","10155.7","1527.4","0","106","2270.2","4034.3","4427.4","202","6107.5","202.3","4421.5","58.4","274.4","156.3","1237.8","1792.2","1410.5","6379.6","46100.3"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2015/2014","1418.2","424.1","548","0","216.9","2023.1","3676.3","1328.1","213.6","3555.9","164.7","6489.9","49","299.6","10.1","1729.1","851.8","628","3081.3","26707.7"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2015/2014","776.6","2189.7","793.3","0","106.4","1323.6","1643","1726.2","180.2","2452.7","46.5","109.6","31.4","100","125.5","1451.4","593","567.8","1332.5","15549.4"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2014/2013","1179.7","16745.6","1688","0","249.2","435.4","3711.6","6897.1","262.7","5356.1","121.6","133.9","357.5","398","628.9","3212.9","1800.3","749.4","5601.1","49529"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2014/2013","1525","193.5","580.9","0","262.1","1691.7","3155.5","1397.4","202.1","5188.7","362.3","77.5","121.9","247.4","205","2562.8","2463.8","952.6","4857.3","26047.5"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2014/2013","809.3","1941","724.4","0","235.9","1484.9","2967","2032.5","206.1","3075.9","218","115.5","90.1","180.7","201.5","146.5","1742.4","1750","1863.1","19784.8"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2014/2013","632.1","2806.1","616.1","0","158","1593.2","2305.8","1760.6","140.1","2637.7","45.7","108","69.3","146.5","302.7","179","544","235.7","831.7","15112.3"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2013/2012","1108.9","11372.4","2075.7","0","171.3","1071.7","5395.9","2372.7","195.5","4894.3","402.3","90.5","157","239.7","66","57.7","2280.1","1395.3","5533.3","38880.3"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2013/2012","713.3","2375","510.1","0","179.2","831.6","4526.4","2501.9","277.1","3921.4","203.8","74.6","214.4","423.3","105.2","61.9","812.5","326.7","1561.9","19620.3"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2013/2012","556.9","4682.8","528.2","0","142.2","862.5","3568.4","3424.5","225.9","3328.8","115.8","93.7","69.6","257.8","57.5","334.3","569.2","468.8","1548","20834.9"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2013/2012","571.3","4642.6","508.8","0","115.2","648.8","2172.1","1806.1","168.5","2298.6","210","93.9","53.7","139.6","102.7","173.5","1227.3","549.5","1082.3","16564.5"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2012/2011","720.9","1104.1","6627.9","1","158.2","1617.1","6067.4","2330.6","245.1","6733.7","406.4","48.3","66.5","585.2","156.5","123.8","1346.9","1608.2","2354.4","32302.2"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2012/2011","545.4","1213.9","2571.8","1","57.6","498.6","4309.3","2306.6","210.7","2911.8","230","85.8","106","593.6","160.9","334.3","1332","510.2","1743.7","19723.2"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2012/2011","964.1","1558.6","3918.6","1","55.5","382","4967.7","2629.9","162","5096.7","251.4","74.8","59.2","215.8","153.2","352.9","995.3","404.5","1918.9","24162.1"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2012/2011","442.3","660.1","1660.9","0.5","25.6","253.9","3056.6","3125.2","192","3118.2","135.8","81.6","38","113.9","100.4","333.8","838.5","373.9","1807","16358.2"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2011/2010","1086.6","2489.7","8372.1","0","137.9","1613.8","5621.1","672.6","198.6","5547.1","405.7","128.6","56.5","318.6","65.4","117.1","2156.7","1164.2","3704.1","33856.4"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2011/2010","736","128.2","387.1","0.4","43.2","808.7","4738.1","1980.8","235","2994.1","390.6","95.9","72.3","147.5","50.7","503.4","433.5","246.8","2552.9","16545.2"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2011/2010","757.6","74.5","255.7","0.6","64.5","1142","4013.8","3908.3","258.2","3752.8","410.2","143.1","45.4","185.9","156.9","577.3","1234.6","1068.5","1745.8","19795.7"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2011/2010","695.5","53.1","220.1","0.4","32.7","1042.7","2507.1","4369.2","270.7","3536.3","441.9","107.8","66.2","222.9","100.3","546.1","802.3","727.8","1449.9","17193"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2010/2009","786.4","17064.3","2728.7","6.4","131.9","3668.3","5947.7","3757.6","271.2","5529.8","592.7","84.5","80","451.8","93.9","338.8","2372.7","1739.8","3490.9","49137.4"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2010/2009","891.1","123.1","332.6","0.7","87.5","855.4","4396.7","4592.8","323.4","5007.2","861.4","152.2","76","205.1","87","710.4","338.6","853.7","2199.8","22094.7"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2010/2009","631.4","96.7","302","1.2","59.4","876.7","2864","4601","213","3451.3","540.8","239.9","53.7","165.6","89.1","495.4","1174.7","742.6","1746.4","18344.9"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2010/2009","569.2","67.9","220.4","0.3","36.6","1520.9","2654.2","4552.7","255.5","2775.9","200.2","87.9","27.3","77.4","75.5","325.3","721","324.1","1019.6","15511.9"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2009/2008","814.2","10391.5","9516.9","1.8","626.3","3401.7","4821.3","2859.2","266.3","5580.7","1034.3","243.8","70.4","104.9","135.7","150.5","2252.7","1791.9","5992","50056.1"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2009/2008","585.7","185.1","919.2","0.4","189.5","692.8","5125.7","2312.2","227.7","5273.5","476.7","87.3","122.1","122.3","176","326.2","521","781.3","3539.5","21664.2"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2009/2008","709.2","148.3","931.1","2.8","130.8","1215.8","3334","1939.3","248.4","2747.7","528.7","122","28.1","128.9","200.9","94.3","864.3","430.9","3425.1","17230.6"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2009/2008","634.2","83.7","1026.2","0","133.4","541.1","2293.7","3429.6","194.3","1940.9","102.7","75.4","21.6","83.2","121.7","118.7","720.2","211.5","978.2","12710.3"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2008/2007","898.3","3506.7","775.3","6.1","483.3","2311.4","3666","3011.3","337.1","4878.4","1040.2","210","165.6","356.2","185.6","139.2","2345.5","1709.2","3527.5","29552.9"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2008/2007","684.6","511.2","655.9","0","247.8","683.3","3112.4","1824.1","66.6","4416.7","228.6","71.2","42.5","135.5","54.3","32.5","505.8","194.1","2969.8","16436.9"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2008/2007","647.7","649.5","855.2","0","316.9","732.3","2442.9","1225.7","77.2","1925.4","207.7","70.9","33.7","155.2","35.9","17.8","265.7","610.8","3516.2","13786.7"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2008/2007","618.9","341.3","1056.6","0","398","698.3","1503.5","681.8","178.7","1681.5","89.6","52.8","32.7","146","88.1","8.7","415","389.7","2297","10678.2"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2007/2006","1072.5","2593.8","2935.3","22.1","197.5","2489.7","2756.5","2656.1","204.9","1319.4","280.1","171.8","151.2","244.2","57.6","8.2","1275.7","908.4","5239.7","24584.7"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2007/2006","582.9","634.3","1084.5","1.8","82.5","990.7","1741.1","687.5","117.2","2313.5","307.9","68.3","108.5","83.3","161.5","30.7","686","176.7","2244.4","12103.3"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2007/2006","326.3","598.2","1234.6","0","115","1013.8","1500","322.5","73.9","3865.2","126.8","29.5","71.9","89.5","58.8","10.9","576.1","588.7","1465.9","12067.6"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2007/2006","452","564.3","967.9","13","105.7","624.5","1623.5","275.9","81.5","2815.2","89.2","63.9","60.2","51.4","96.3","34.9","272.4","79.1","1015.1","9286"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2006/2005","860.6","3890.3","806.2","1.3","2051.7","963.3","1269.7","262","118","1187.1","1746.6","86.1","154","114.8","32.6","72.4","1378","638.9","3090.7","18724.3"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2006/2005","842","991.8","629.8","1.5","65.8","166.6","3100","251.6","115.9","2663.2","258.2","134.9","53.7","129.8","40.7","45.8","462.3","626.1","1615.3","12195"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2006/2005","544.2","700","406.8","1.5","800.4","170","2071.2","375.3","73.9","1963","122","46.5","39.5","88.7","120.4","23.4","475.8","375.5","1773.8","10171.9"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2006/2005","552.9","587.2","349.4","1.1","676.7","134.4","1499.9","178.4","112.8","2055","133","69.7","30.5","63.7","51.7","13.9","388.4","254.3","1171.7","8324.7"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2005/2004","1249.2","2544","935.9","2.1","708.4","321.7","2840.1","609.6","141.8","5149.8","911.1","77.4","98.3","195.3","124.6","64.7","1465.6","1332.8","1347.8","20120.2"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2005/2004","683.1","320.7","116.3","2","680.4","308.9","2020.2","406.6","157.7","1934.7","379.5","132.3","46.6","378","139.6","39.3","487.3","451.1","2481.1","11165.4"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2005/2004","621","296.3","107.7","1.6","684","310.6","1678.6","339.6","31","1516.9","297.6","47.6","35.6","126.4","150.8","15","606.1","385","2318.9","9570.3"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2005/2004","616.8","610.6","223.2","2.1","1024.8","465.4","1412.1","244.4","23.8","1729.8","438","48.3","33.2","30.6","125.2","16.6","419.2","254.8","1464.6","9183.5"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2004/2003","2107.3","76","286.6","8","278","290.9","1828.9","323.1","69.2","2293.2","597","211.6","51.9","117.4","177.5","80.8","1799.1","937.4","2976.4","14510.3"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2004/2003","779","80.5","295","8.8","266","250","1765","354","77","2796","624","15.8","0","105","110.1","18.9","548.1","364.4","1427.9","9885.5"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2004/2003","672.7","75.3","289","8.5","236","225","1805","338","74","2445","609","164","45.1","130.7","112.7","14.3","560.9","493.4","1481","9779.6"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2004/2003","0","70.5","275","8","220","214","1750","325","69","2378","566","50","23.6","25.6","101.6","24.4","492.1","224.6","1463.2","8280.6"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2003/2002","1195.5","119.3","94","10.8","14.8","597.7","827.7","280.8","203","2283.2","430.5","196.2","13.2","27.3","54.4","58.7","1753.9","697.3","1662.6","10520.9"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2003/2002","726.6","122","108.4","11","14.7","697","815","282.8","150","1530.8","369","35","31.5","45.9","91.7","23.4","672.5","322.1","1287.9","7337.3"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2003/2002","661.4","118","97.1","10.2","14.5","622","806.2","275","74.7","1718.7","385.5","96.5","25","21.5","25.1","16.7","690.4","255.6","1824.2","7738.3"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2003/2002","636.8","110","85","9.4","12.1","511.4","796","266","59.4","2508.8","381","57.8","21","173.3","124","14.7","567.4","264.6","2261.9","8860.6"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2002/2001","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2002/2001","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2002/2001","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2002/2001","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2001/2000","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2001/2000","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2001/2000","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2001/2000","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2000/1999","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2000/1999","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2000/1999","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2000/1999","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","1999/1998","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","1999/1998","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","1999/1998","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","1999/1998","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","1998/1997","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","1998/1997","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
