"Indicator","Source","Quarter","Fiscal Year","Unit","Gross Domestic Product at market prices"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q3","2014/2013","Billion EGP","1324.88"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q1","2013/2012","Billion EGP","1329.7"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q4","2013/2012","Billion EGP","1342.13"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q2","2013/2012","Billion EGP","1343.97"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q1","2014/2013","Billion EGP","1351.11"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q2","2014/2013","Billion EGP","1364.53"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q3","2015/2014","Billion EGP","1368.21"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q4","2014/2013","Billion EGP","1411.11"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q3","2016/2015","Billion EGP","1418.97"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q1","2015/2014","Billion EGP","1427.18"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q2","2015/2014","Billion EGP","1435.76"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q4","2015/2014","Billion EGP","1458.1"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q3","2017/2016","Billion EGP","1481.7"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q2","2016/2015","Billion EGP","1493.9"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q1","2016/2015","Billion EGP","1500.25"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q4","2016/2015","Billion EGP","1522.99"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q1","2017/2016","Billion EGP","1551.6"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q2","2017/2016","Billion EGP","1552.5"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q3","2018/2017","Billion EGP","1561.7"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q4","2017/2016","Billion EGP","1599.1"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q1","2018/2017","Billion EGP","1632.3"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q2","2018/2017","Billion EGP","1634.8"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q3","2019/2018","Billion EGP","1649.6"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q4","2018/2017","Billion EGP","1685.6"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q1","2019/2018","Billion EGP","1719.1"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q2","2019/2018","Billion EGP","1724.7"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q3","2020/2019","Billion EGP","1732.5"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q4","2020/2019","Billion EGP","1753"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q3","2021/2020","Billion EGP","1781.8"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q4","2019/2018","Billion EGP","1782.5"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q1","2020/2019","Billion EGP","1815.1"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q2","2020/2019","Billion EGP","1821.1"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q1","2021/2020","Billion EGP","1827.4"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q2","2021/2020","Billion EGP","1856.6"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q3","2022/2021","Billion EGP","1877.4"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q4","2021/2020","Billion EGP","1887.3"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q4","2022/2021","Billion EGP","1948.6"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q3","2023/2022","Billion EGP","1949.7"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q3","2024/2023","Billion EGP","1992.94"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q4","2023/2022","Billion EGP","2004.4"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q1","2022/2021","Billion EGP","2006.3"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q2","2022/2021","Billion EGP","2010.2"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q4","2024/2023","Billion EGP","2053.03"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q2","2023/2022","Billion EGP","2089.6"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q1","2023/2022","Billion EGP","2093.7"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q2","2024/2023","Billion EGP","2137.43"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q1","2024/2023","Billion EGP","2149.22"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q1","2025/2024","Billion EGP","2225.1"
"GDP by expenditure components at market prices, constant prices for 2021/2022","Ministry of Planning and Economic Development","Q2","2025/2024","Billion EGP","2229.25"
